date,product,category,price,quantity,revenue
01-01-2022,Smartphone,Electronics,600,10,6000
01-01-2022,Laptop,Electronics,1200,5,6000
02-01-2022,T-Shirt,Clothing,20,50,1000
03-01-2022,Headphones,Electronics,100,20,2000
04-01-2022,T-Shirt,Clothing,20,25,500
05-01-2022,Watch,Accessories,150,10,1500
06-01-2022,Smartphone,Electronics,600,8,4800
06-01-2022,Tablet,Electronics,400,5,2000
07-01-2022,Coat,Clothing,100,10,1000
08-01-2022,Smartwatch,Accessories,200,12,2400
09-01-2022,Speaker,Electronics,80,15,1200
10-01-2022,Backpack,Bags,50,20,1000
11-01-2022,Hoodie,Clothing,40,30,1200
12-01-2022,Smartphone,Electronics,600,12,7200
13-01-2022,Sneakers,Shoes,80,10,800
14-01-2022,Wallet,Accessories,30,40,1200
15-01-2022,Jeans,Clothing,50,20,1000
16-01-2022,Smartwatch,Accessories,200,5,1000
17-01-2022,Smartphone,Electronics,600,6,3600
18-01-2022,Coat,Clothing,100,8,800
19-01-2022,Speaker,Electronics,80,20,1600
20-01-2022,Backpack,Bags,50,15,750
21-01-2022,T-Shirt,Clothing,20,40,800
22-01-2022,Smartphone,Electronics,600,7,4200
23-01-2022,Tablet,Electronics,400,3,1200
24-01-2022,Hoodie,Clothing,40,15,600
25-01-2022,Smartwatch,Accessories,200,8,1600
26-01-2022,Sneakers,Shoes,80,12,960
27-01-2022,Coat,Clothing,100,5,500
28-01-2022,Speaker,Electronics,80,8,640
29-01-2022,T-Shirt,Clothing,20,30,600
30-01-2022,Smartphone,Electronics,600,9,5400
31-01-2022,Jeans,Clothing,50,15,750
01-02-2022,T-Shirt,Clothing,20,35,700
02-02-2022,Smartphone,Electronics,600,10,6000
03-02-2022,Headphones,Electronics,100,25,2500
04-02-2022,Coat,Clothing,100,12,1200
05-02-2022,Watch,Accessories,150,8,1200
06-02-2022,Smartphone,Electronics,600,7,4200
07-02-2022,Speaker,Electronics,80,18,1440
08-02-2022,Backpack,Bags,50,25,1250
09-02-2022,Smartwatch,Accessories,200,6,1200
10-02-2022,Jeans,Clothing,50,10,500
11-02-2022,T-Shirt,Clothing,20,20,400
12-02-2022,Smartphone,Electronics,600,12,7200
13-02-2022,Sneakers,Shoes,80,8,640
14-02-2022,Wallet,Accessories,30,30,900
15-02-2022,Tablet,Electronics,400,4,1600
16-02-2022,Smartwatch,Accessories,200,7,1400
17-02-2022,Smartphone,Electronics,600,6,3600
18-02-2022,Hoodie,Clothing,40,20,800
19-02-2022,Speaker,Electronics,80,12,960
20-02-2022,Backpack,Bags,50,18,900
21-02-2022,Sneakers,Shoes,80,5,400
22-02-2022,Smartphone,Electronics,600,8,4800
23-02-2022,Coat,Clothing,100,6,600
24-02-2022,T-Shirt,Clothing,20,15,300
25-02-2022,Smartwatch,Accessories,200,10,2000
26-02-2022,Jeans,Clothing,50,18,900
27-02-2022,Smartphone,Electronics,600,9,5400
28-02-2022,Watch,Accessories,150,5,750
01-03-2022,T-Shirt,Clothing,20,40,800
02-03-2022,Smartphone,Electronics,600,10,6000
03-03-2022,Headphones,Electronics,100,15,1500
04-03-2022,Coat,Clothing,100,20,2000
05-03-2022,Smartwatch,Accessories,200,12,2400
06-03-2022,Smartphone,Electronics,600,7,4200
07-03-2022,Speaker,Electronics,80,10,800
08-03-2022,Backpack,Bags,50,15,750
09-03-2022,Jeans,Clothing,50,25,1250
10-03-2022,T-Shirt,Clothing,20,30,600
11-03-2022,Hoodie,Clothing,40,10,400
12-03-2022,Smartphone,Electronics,600,12,7200
13-03-2022,Sneakers,Shoes,80,15,1200
14-03-2022,Wallet,Accessories,30,40,1200
15-03-2022,Smartwatch,Accessories,200,5,1000
16-03-2022,Smartphone,Electronics,600,6,3600
17-03-2022,Coat,Clothing,100,8,800
18-03-2022,Speaker,Electronics,80,20,1600
19-03-2022,Backpack,Bags,50,10,500
20-03-2022,T-Shirt,Clothing,20,25,500
21-03-2022,Tablet,Electronics,400,3,1200
22-03-2022,Smartphone,Electronics,600,7,4200
23-03-2022,Sneakers,Shoes,80,12,960
24-03-2022,T-Shirt,Clothing,20,15,300
25-03-2022,Smartwatch,Accessories,200,8,1600
26-03-2022,Jeans,Clothing,50,20,1000
27-03-2022,Smartphone,Electronics,600,9,5400
28-03-2022,Watch,Accessories,150,10,1500
29-03-2022,Coat,Clothing,100,5,500
30-03-2022,Headphones,Electronics,100,10,1000
31-03-2022,Smartphone,Electronics,600,11,6600
01-04-2022,Hoodie,Clothing,40,30,1200
02-04-2022,Smartphone,Electronics,600,10,6000
03-04-2022,Speaker,Electronics,80,25,2000
04-04-2022,Coat,Clothing,100,15,1500
05-04-2022,Smartwatch,Accessories,200,10,2000
06-04-2022,Smartphone,Electronics,600,7,4200
07-04-2022,Backpack,Bags,50,18,900
08-04-2022,T-Shirt,Clothing,20,35,700
09-04-2022,Jeans,Clothing,50,10,500
10-04-2022,Watch,Accessories,150,12,1800
11-04-2022,Hoodie,Clothing,40,20,800
12-04-2022,Smartphone,Electronics,600,12,7200
13-04-2022,Sneakers,Shoes,80,8,640
14-04-2022,Wallet,Accessories,30,30,900
15-04-2022,Smartwatch,Accessories,200,5,1000
16-04-2022,Smartphone,Electronics,600,6,3600
17-04-2022,Coat,Clothing,100,8,800
18-04-2022,Speaker,Electronics,80,20,1600
19-04-2022,Backpack,Bags,50,15,750
20-04-2022,T-Shirt,Clothing,20,20,400
21-04-2022,Tablet,Electronics,400,6,2400
22-04-2022,Smartphone,Electronics,600,7,4200
23-04-2022,Sneakers,Shoes,80,12,960
24-04-2022,T-Shirt,Clothing,20,25,500
25-04-2022,Smartwatch,Accessories,200,8,1600
26-04-2022,Jeans,Clothing,50,15,750
27-04-2022,Smartphone,Electronics,600,9,5400
28-04-2022,Watch,Accessories,150,10,1500
29-04-2022,Coat,Clothing,100,5,500
30-04-2022,Headphones,Electronics,100,15,1500
01-05-2022,Smartphone,Electronics,600,20,12000
02-05-2022,Hoodie,Clothing,40,20,800
03-05-2022,Smartphone,Electronics,600,10,6000
04-05-2022,Speaker,Electronics,80,22,1760
05-05-2022,Coat,Clothing,100,18,1800
06-05-2022,Smartwatch,Accessories,200,12,2400
07-05-2022,Smartphone,Electronics,600,7,4200
08-05-2022,Backpack,Bags,50,20,1000
09-05-2022,T-Shirt,Clothing,20,30,600
10-05-2022,Jeans,Clothing,50,25,1250
11-05-2022,Watch,Accessories,150,15,2250
12-05-2022,Hoodie,Clothing,40,15,600
13-05-2022,Smartphone,Electronics,600,12,7200
14-05-2022,Sneakers,Shoes,80,8,640
15-05-2022,Wallet,Accessories,30,35,1050
16-05-2022,Smartwatch,Accessories,200,9,1800
17-05-2022,Smartphone,Electronics,600,6,3600
18-05-2022,Coat,Clothing,100,8,800
19-05-2022,Speaker,Electronics,80,20,1600
20-05-2022,Backpack,Bags,50,15,750
21-05-2022,T-Shirt,Clothing,20,25,500
22-05-2022,Smartphone,Electronics,600,7,4200
23-05-2022,Sneakers,Shoes,80,12,960
24-05-2022,T-Shirt,Clothing,20,15,300
25-05-2022,Smartwatch,Accessories,200,8,1600
26-05-2022,Jeans,Clothing,50,20,1000
27-05-2022,Smartphone,Electronics,600,9,5400
28-05-2022,Watch,Accessories,150,5,750
29-05-2022,Coat,Clothing,100,5,500
30-05-2022,Headphones,Electronics,100,10,1000
31-05-2022,Smartphone,Electronics,600,11,6600
01-06-2022,Hoodie,Clothing,40,30,1200
02-06-2022,Smartphone,Electronics,600,10,6000
03-06-2022,Speaker,Electronics,80,25,2000
04-06-2022,Coat,Clothing,100,15,1500
05-06-2022,Smartwatch,Accessories,200,10,2000
06-06-2022,Smartphone,Electronics,600,7,4200
07-06-2022,Backpack,Bags,50,18,900
08-06-2022,T-Shirt,Clothing,20,35,700
09-06-2022,Jeans,Clothing,50,10,500
10-06-2022,Watch,Accessories,150,12,1800
11-06-2022,Hoodie,Clothing,40,20,800
12-06-2022,Smartphone,Electronics,600,12,7200
13-06-2022,Sneakers,Shoes,80,15,1200
14-06-2022,Wallet,Accessories,30,40,1200
15-06-2022,Smartwatch,Accessories,200,5,1000
16-06-2022,Smartphone,Electronics,600,6,3600
17-06-2022,Coat,Clothing,100,8,800
18-06-2022,Speaker,Electronics,80,20,1600
19-06-2022,Backpack,Bags,50,15,750
20-06-2022,T-Shirt,Clothing,20,20,400
21-06-2022,Tablet,Electronics,400,6,2400
22-06-2022,Smartphone,Electronics,600,7,4200
23-06-2022,Sneakers,Shoes,80,12,960
24-06-2022,T-Shirt,Clothing,20,25,500
25-06-2022,Smartwatch,Accessories,200,8,1600
26-06-2022,Jeans,Clothing,50,15,750
27-06-2022,Smartphone,Electronics,600,9,5400
28-06-2022,Watch,Accessories,150,10,1500
29-06-2022,Coat,Clothing,100,5,500
30-06-2022,Headphones,Electronics,100,15,1500
01-07-2022,Smartphone,Electronics,600,11,6600
02-07-2022,Hoodie,Clothing,40,20,800
03-07-2022,Smartphone,Electronics,600,10,6000
04-07-2022,Speaker,Electronics,80,22,1760
05-07-2022,Coat,Clothing,100,18,1800
06-07-2022,Smartwatch,Accessories,200,12,2400
07-07-2022,Smartphone,Electronics,600,7,4200
08-07-2022,Backpack,Bags,50,20,1000
09-07-2022,T-Shirt,Clothing,20,30,600
10-07-2022,Jeans,Clothing,50,25,1250
11-07-2022,Watch,Accessories,,15,0
12-07-2022,Hoodie,Clothing,40,15,600
13-07-2022,Smartphone,Electronics,600,12,7200
14-07-2022,Sneakers,Shoes,80,8,640
15-07-2022,Wallet,Accessories,30,35,1050
16-07-2022,Smartwatch,Accessories,200,9,1800
17-07-2022,Smartphone,Electronics,600,6,3600
18-07-2022,Coat,Clothing,100,8,800
19-07-2022,Speaker,Electronics,80,20,1600
20-07-2022,Backpack,Bags,50,15,750
21-07-2022,T-Shirt,Clothing,20,25,500
22-07-2022,Smartphone,Electronics,600,7,4200
23-07-2022,Sneakers,Shoes,80,12,960
24-07-2022,T-Shirt,Clothing,20,15,300
25-07-2022,Smartwatch,Accessories,200,8,1600
26-07-2022,Jeans,Clothing,50,20,1000
27-07-2022,Smartphone,Electronics,600,9,5400
28-07-2022,Watch,Accessories,150,5,750
29-07-2022,Coat,Clothing,100,5,500
30-07-2022,Headphones,Electronics,100,10,1000
31-07-2022,Smartphone,Electronics,600,11,6600
01-08-2022,Hoodie,Clohting,40,30,1200
